,created_at,id_str,text,longitude,latitude
1,2019-09-28 21:36:31,1.1780609475645153e+18,Kensington Gardens and Hyde Park @ Kensington Gardens https://t.co/4JAtOiUVDT,-0.18027778,51.50722222
3,2019-09-28 20:12:14,1.1780397365790556e+18,"It’s gorgeous when the paths in the park turn golden, but I’m not quite ready for autumn, and definitely not for th… https://t.co/v8k1FqaLko",-0.18027778,51.50722222
5,2019-09-28 16:54:12,1.1779898992675103e+18,"I'm at Kensington Gardens - @theroyalparks in London, Greater London https://t.co/lky1PK6jkB",-0.18037319,51.50676585
7,2019-09-28 14:22:07,1.177951625752785e+18,Causing trouble-Super Jam Video Out Now @ Kensington Gardens https://t.co/JpB5gtNDe5,-0.18027778,51.50722222
9,2019-09-28 8:43:48,1.1778664843427594e+18,"Bye bye #England. You, been great. Walked 24 miles around your land, rain, and sunshine. Off to #Paris! #tea… https://t.co/Z53qzK0ih1",-0.1899,51.51344
11,2019-09-26 18:12:17,1.1772847737205268e+18,Just posted a photo @ Kensington Gardens https://t.co/yTmxaDMs7O,-0.18027778,51.50722222
13,2019-09-25 23:12:17,1.1769978840903107e+18,Never tired of this view! #vancouver @ Kensington Gardens https://t.co/MBvJofFEhg,-123.06155,49.24282
15,2019-09-25 16:04:02,1.176890108848554e+18,Ale &amp; Gin calls so it’s a spin through Kensington Gardens to the Elephant &amp; Castle #3capitals3days… https://t.co/LpiNKtzECC,-0.18027778,51.50722222
17,2019-09-24 7:13:20,1.1763941688742216e+18,❤️Family weekends are the best❤️ @ Kensington Gardens https://t.co/wYn8UHlxKf,-0.18027778,51.50722222
19,2019-09-24 2:35:44,1.176324306583937e+18,#LONDON 🇬🇧 Walking around the #RoundPound 🦢🐿 in #KensingtonGardens 🌺 looking for a new coffee to work on 🥰… https://t.co/ee9g26YSy4,-0.18027778,51.50722222
21,2019-09-23 21:03:54,1.176240797974483e+18,"I'm at Kensington Gardens - @theroyalparks in London, Greater London https://t.co/KgBffROX2l",-0.18037319,51.50676585
23,2019-09-23 14:25:53,1.176140636153684e+18,"I'm at Kensington Gardens - @theroyalparks in London, Greater London https://t.co/eXq8Ccc0cB",-0.18037319,51.50676585
25,2019-09-23 13:35:42,1.1761280046211277e+18,Just posted a photo @ Kensington Gardens https://t.co/ekwH8Ch2t3,-0.18027778,51.50722222
27,2019-09-23 10:26:26,1.176080374289617e+18,"Sun Worship
#kensingtongardens #London @ Round Pond, Kensington Gardens https://t.co/ytXHGt3of0",-0.18311977,51.50672579
29,2019-09-23 10:24:17,1.1760798317983089e+18,"Park Life
#kensingtongardens #London @ Round Pond, Kensington Gardens https://t.co/HUuw8T1VfH",-0.18311977,51.50672579
31,2019-09-21 23:20:57,1.1755505126298952e+18,"Kensington Gardens, Round Pond and the Kensington Palace en Kensington Gardens https://t.co/ZlQggBBIKn",-0.18027778,51.50722222
33,2019-09-21 17:03:51,1.1754556118127534e+18,Basking in the September sun ! @ Kensington Gardens https://t.co/tYc32lqBuS,-0.18027778,51.50722222
35,2019-09-20 16:28:50,1.1750844110182605e+18,"London Day 4 .... we walked a zillion miles again, visited Kensington Gardens, Hyde Park, National Gallery, Austral… https://t.co/s3N6rTeyqj",-0.13333333,51.53333333
37,2019-09-29 5:07:16,1.1781743806790083e+18,"I'm at Royal Belum State Park - Lake Banding in Gerik, Perak https://t.co/odYoO7vc2n https://t.co/MBAe4u3Z6y",101.347375,5.55184494
39,2019-09-29 4:21:01,1.1781627419300086e+18,"At work. #GatsbyNight 🎷 @ Royal Berkshire, Jerudong Park &amp; Polo Country Club https://t.co/427yhc2VlV",114.82851070000001,4.94661835
41,2019-09-29 2:27:01,1.1781340534651617e+18,"”I hope she’ll be a fool — that’s the best thing a girl can be in this world, a beautiful little fool.” - Daisy Buc… https://t.co/g0DwQfvbzC",114.82851070000001,4.94661835
43,2019-09-29 1:56:48,1.1781264485378499e+18,"I'm at Royal Farms in Ridley Park, PA https://t.co/3d3NbbvOZy",-75.31949264,39.86896491
45,2019-09-29 0:43:26,1.1781079834248233e+18,"Travelled in time to relive the Roaring Twenties. Jazz era, anyone? #Sarjana #GatsbyNight 🎷 @ Royal Berkshire, Jeru… https://t.co/G2ILNS5d1a",114.82851070000001,4.94661835
47,2019-09-28 22:49:39,1.1780793497040282e+18,Are you looking for a new opportunity? Royal Park Health and Rehabilita... is looking for you! Join our team in… https://t.co/X5PaEKGs5e,-117.4644801,47.787236799999995
49,2019-09-28 22:43:06,1.1780777026933105e+18,the newlyweds Kirstin &amp; Tyler. Congratulations and Good Luck! @ Royal Park Hotel https://t.co/fC3jGY51ig,-83.12876168,42.68139617
51,2019-09-28 21:28:18,1.178058877096452e+18,Are you looking for a new opportunity? Royal Park Health and Rehabilita... is looking for you! Join our team in Spo… https://t.co/kOfn64jPoo,-117.4644801,47.787236799999995
53,2019-09-28 19:10:51,1.1780242869062738e+18,Could this be the the next Atomic Cafe truck? Very nice @ Royal Oaks Park https://t.co/oEhlbtHhEj,-117.9476775,34.14384424
55,2019-09-28 16:25:46,1.1779827435624448e+18,"Birthday queen Makeup !!
#makeup #makeupartist #eyes #makeuptime #hair #hairstyle #curlyhair #lips #lashes… https://t.co/CfnnqvXq4W",-105.2724649,20.54841804
57,2019-09-28 15:56:52,1.1779754707066143e+18,"Morning! 😎
#parkroyalacapulco #mymoments #ilovemexico🇲🇽 #iloveaca @ Park Royal Acapulco https://t.co/R3Wef2vuvH",-99.85863451,16.83288614
59,2019-09-28 14:55:24,1.1779600036861542e+18,#welcome @ Royal Gorge Bridge &amp; Park https://t.co/hiehKA1a3Y,-105.32311200000001,38.46214797
61,2019-09-28 14:54:51,1.1779598648297267e+18,#indianstore @ Royal Gorge Bridge &amp; Park https://t.co/h8HU3o4ovd,-105.32311200000001,38.46214797
63,2019-09-28 14:52:27,1.1779592591554396e+18,Up early and ready to go @ Duarte Route 66 Car Show @ Royal Oaks Park https://t.co/Rrn6A6NzPS,-117.9476775,34.14384424
65,2019-09-28 13:48:16,1.1779431075953787e+18,Canon city #canoncitycolorado #royalgorgebridge @ Royal Gorge Bridge &amp; Park https://t.co/UQojuFcJLp,-105.32311200000001,38.46214797
67,2019-09-28 7:10:57,1.177843118118523e+18,Texas Scramble#spgc#royal#sherdley#autumnal @ Sherdley Park Golf Club https://t.co/m1YKHLee0y,-2.73353577,53.436537300000005
69,2019-09-28 1:30:23,1.1777574134552207e+18,Save the Date 🐎 October 4th 6-7:30pm We are very excited at the town to have the Royal Canadian Mounted Police and… https://t.co/WJOrwhHsEl,-79.2432667,43.970741600000004
71,2019-09-28 0:33:30,1.1777430964208108e+18,"Looking for more from your employer? Royal Park Health and Rehabilita... is hiring in #Spokane, WA - Apply now to j… https://t.co/1JnKYeR1zD",-117.4644801,47.787236799999995
73,2019-09-27 17:55:40,1.1776429787869635e+18,Are you looking for a new opportunity? Royal Park Health and Rehabilita... is looking for you! Join our team in… https://t.co/bHKaximz1h,-117.4644801,47.787236799999995
75,2019-09-26 22:49:59,1.1773546592807404e+18,"Happy Friday-Eve! #ShopParkRoyal
@Loft @ Park Royal https://t.co/ovO918tGyJ",-123.13668500000001,49.32519753
77,2019-09-26 19:57:43,1.1773113045052867e+18,"Thank you everyone for the wonderful messages, call, and good wishes. You guys are awesome! Here's to many more! 🥂🍾… https://t.co/GjJP45cm6W",-0.13174625,51.43384762
79,2019-09-26 18:24:00,1.1772877208147436e+18,"Water Show! 💧
•
This stunning fountain is located right in the middle of the Royal Park (next to the Royal Palace)… https://t.co/rDWoLv7A5k",4.362222,50.841667
