,created_at,id_str,text,longitude,latitude
1,2019-09-29 6:09:07,1.1781899453385482e+18,The outside may look the same but the inside of the Hyde Park Barracks is changing 🏗🏗🏗 Installing a lift into a… https://t.co/nQvF7eFI4H,151.2124115,-33.86967265
3,2019-09-29 6:08:59,1.1781899103916278e+18,"Opening in early 2020, the new Hyde Park Barracks experience will display &gt;4000 original objects from the… https://t.co/VgNYqr5LDz",151.2124115,-33.86967265
5,2019-09-29 6:08:48,1.1781898672110797e+18,The Hyde Park Barracks is a @unesco World Heritage site in the historic heart of Sydney. This @sydlivmus property w… https://t.co/Uq3mV2fHYS,151.2124115,-33.86967265
7,2019-09-29 6:08:38,1.17818982380424e+18,"Following a major renewal, the @unesco World Heritage listed Hyde Park Barracks is reopening in early 2020 🔐🔐🔐… https://t.co/QIeHyWaBGW",151.2124115,-33.86967265
9,2019-09-29 4:00:32,1.1781575854526792e+18,Updated: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park https://t.co/RvG7G6LufY,-73.526123,40.768058
11,2019-09-29 4:00:30,1.178157579584901e+18,Updated: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station https://t.co/zKh2D6hFOf,-73.526123,40.768058
13,2019-09-29 4:00:30,1.1781575769927598e+18,Updated: Construction on #MainLine Both directions at New Hyde Park https://t.co/dom8GVf24F,-73.67987600000001,40.731217
15,2019-09-29 4:00:28,1.178157570936234e+18,Updated: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park https://t.co/IrYiC514yy,-73.526123,40.768058
17,2019-09-29 4:00:26,1.1781575628244664e+18,Updated: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station https://t.co/s9ZxIiGC0m,-73.526123,40.768058
19,2019-09-29 3:59:20,1.1781572857570673e+18,Cleared: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park,-73.526123,40.768058
21,2019-09-29 3:59:20,1.1781572832782418e+18,Cleared: Construction on #RonkonkomaBranch Both directions from Hicksville Station to New Hyde Park,-73.526123,40.768058
23,2019-09-29 3:59:19,1.178157281650905e+18,Cleared: Construction on #MainLine Both directions at New Hyde Park,-73.67987600000001,40.731217
25,2019-09-29 3:58:32,1.1781570841914e+18,Cleared: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station,-73.526123,40.768058
27,2019-09-29 3:58:32,1.178157083960791e+18,Cleared: Construction on #PortJeffersonBranch Both directions from Hicksville Station to New Hyde Park Station,-73.526123,40.768058
29,2019-09-29 3:33:03,1.1781506714990387e+18,"I'm at Hyde Park in Tampa, FL https://t.co/0L8bAsmdl6",-82.47672732,27.93507926
31,2019-09-29 1:56:51,1.1781264590151844e+18,Perfect #datenight #fallfestival @ Hyde Park Village https://t.co/vB0VjhFMQg,-82.4756551,27.936468400000003
33,2019-09-29 1:49:46,1.1781246777947832e+18,"True Story. #theend @ Hyde Park (Austin, Texas) https://t.co/cBvxdJjH0I",-97.730278,30.3075
